path,Kontras45,Dissimilarity45,Homogenitas45,Entropi45,ASM45,Energy45,Correlation45
01_F1D022016_1_3.jpg,209481332.26345554,784774598,288554.1686438996,-60915265.03125,7002971,7002971,0.9043715887065004
01_F1D022044_1_1.jpg,378376697.99128884,1064294926,272284.8525264173,-76470759.91796875,9008314,9008314,0.8825516046946866
01_F1D022044_1_2.jpg,565033812.8319556,1082949956,249514.1438120586,-78683870.73046875,8368198,8368198,0.5797193838545982
01_F1D022044_1_3.jpg,329464932.98222226,928998403,327605.3359144318,-72560509.59375,7847138,7847138,0.8250150221507463
01_F1D022069_1_1.jpg,398455560.4350999,902209139,307174.6864777343,-71548973.703125,7718783,7718783,0.6046618402614625
01_F1D022069_1_2.jpg,481149527.71728885,666468475,318094.101336199,-60229496.3828125,8401148,8401148,0.6050097504997073
01_F1D022069_1_3.jpg,508248654.3399,1280564272,325174.5799900161,-95019022.1875,7967839,7967839,0.9280994358018292
01_f1d022103_1_1.jpg,681424990.9101222,1498259125,400642.9130470673,-117605902.390625,8608781,8608781,0.8994547412936948
01_f1d022103_1_2.jpg,392920641.0826223,741363786,307648.1695093086,-60360770.59375,8074388,8074388,0.48352862185896733
01_f1d022103_1_3.jpg,464894885.58115554,1065632368,353309.05636987276,-86305196.80078125,7846582,7846582,0.7530982539063393
01_f1d022120_1_1.jpg,431049799.8439001,1221515157,323867.7670455522,-92218380.8125,6811055,6811055,0.9280084041072796
01_f1d022120_1_2.jpg,247134115.2839889,598564350,280208.973405543,-50280839.5,8767217,8767217,0.814233008877612
01_f1d022120_1_3.jpg,303004186.38395554,1019819465,316369.8368319778,-78708673.0,8039450,8039450,0.898233016619361
01_f1d022149_1_1.jpg,435160926.41972226,1165506932,331662.3081918792,-88664067.0625,8818191,8818191,0.838089835914995
01_f1d022149_1_2.jpg,233023756.416789,737196734,290747.4091404409,-58784445.9375,7979407,7979407,0.8050601719819878
01_F1D022016_2_3.jpg,205082422.56665558,777220041,279414.1526634459,-60219746.3125,7032177,7032177,0.8985371796393865
01_F1D022044_2_1.jpg,545577455.0400002,1285069406,323985.4630883389,-95767283.9375,8702652,8702652,0.9094671039946494
01_F1D022044_2_2.jpg,540887227.5559,1066497453,268380.7913409173,-76793771.21875,8580413,8580413,0.6855799151174746
01_F1D022044_2_3.jpg,341281444.44612217,945619549,313696.44049508014,-73048678.5,8322967,8322967,0.6806713497803286
01_F1D022069_2_1.jpg,394493613.9484,898400901,297421.6760043154,-71214928.828125,7753818,7753818,0.5973512184134451
01_F1D022069_2_2.jpg,506505847.3613223,691944510,344610.1906131953,-63002218.49609375,8444747,8444747,0.5770877964865972
01_F1D022069_2_3.jpg,504419682.28310007,1288583881,331794.37240892573,-96088225.3125,7921071,7921071,0.8703316696447007
01_f1d022103_2_1.jpg,658975690.3584001,1452459286,388044.6399790685,-112713597.0703125,8738094,8738094,0.8862958435397692
01_f1d022103_2_2.jpg,402174223.69510007,717321200,317927.14183099195,-59801568.7109375,8114097,8114097,0.5186842726480821
01_f1d022103_2_3.jpg,457607253.6788889,1036554683,350669.7220308487,-84335158.00390625,7698322,7698322,0.7137239850399609
01_f1d022120_2_1.jpg,435415893.2975,1222545434,342306.0916039303,-91949981.71875,6060449,6060449,0.9220542163884425
01_f1d022120_2_2.jpg,269327270.0,548081849,259195.84897717138,-47454715.4375,8283702,8283702,0.7671124687819397
01_f1d022120_2_3.jpg,302077401.5079,1014855301,324642.3557359623,-79196199.0,8001657,8001657,0.8940109957243436
01_f1d022149_2_1.jpg,405927899.9822222,1128852945,309734.9461020361,-85888938.765625,8869272,8869272,0.8115838699351547
01_f1d022149_2_2.jpg,250740150.57240003,727722014,290345.76751045446,-58656535.1796875,8258486,8258486,0.7376848508312259
01_F1D022044_3_1.jpg,554983953.3084,1286429633,297615.2117116378,-94872986.6171875,8746050,8746050,0.9344617915830298
01_F1D022044_3_2.jpg,513046179.1306555,1018307575,254642.13732418406,-72562389.05859375,8325489,8325489,0.5793784384757235
01_F1D022044_3_3.jpg,343189079.84639996,946913997,324822.13835184014,-73342176.90625,8402716,8402716,0.6843672530359032
01_F1D022069_3_1.jpg,343831624.45528895,835494299,273264.51461394277,-64716752.95703125,7772410,7772410,0.588079935275362
01_F1D022069_3_2.jpg,506388905.80932224,686317090,347939.4030561977,-62940636.23046875,8408349,8408349,0.5578162861958224
01_F1D022069_3_3.jpg,493195995.3624889,1293611916,322527.5350969606,-96576998.515625,7800590,7800590,0.881525643862833
01_f1d022103_3_1.jpg,635668871.3432889,1422448850,380531.7145780146,-110594972.875,8783930,8783930,0.8479825293382754
01_f1d022103_3_2.jpg,401527564.2975,739432183,318120.44068218645,-61660962.10546875,8119411,8119411,0.55127869411599
01_f1d022103_3_3.jpg,458229724.56,1026223921,335618.2983578042,-83340069.671875,7686142,7686142,0.7172816841500275
01_f1d022120_3_1.jpg,441542120.6994555,1234525673,330835.84271467867,-92486989.6875,6018289,6018289,0.9030922011874718
01_f1d022120_3_2.jpg,297260617.9776,537154454,280814.84716119646,-48120331.96875,7917548,7917548,0.6635530105520523
01_f1d022120_3_3.jpg,294925620.47989994,1004035410,327478.0593023408,-78331274.1875,7926563,7926563,0.8987558695259744
01_f1d022149_3_1.jpg,385437500.89582235,1102209828,303265.49236958445,-82578372.125,9194284,9194284,0.8161407314148342
01_f1d022149_3_2.jpg,250035231.51412225,715854316,306942.3290599527,-57925920.8671875,8584675,8584675,0.7845823579587908
01_f1d022149_3_3.jpg,518668046.0986556,278088921,292878.4291770687,-37146805.36328125,8762723,8762723,0.7799245628131709
01_F1D022016_4_3.jpg,208260562.82532224,760779907,271853.7334084201,-59398388.640625,7317163,7317163,0.8755735188244232
01_F1D022044_4_1.jpg,543781999.2247888,1278725266,299334.5748673903,-93922110.2421875,8876873,8876873,0.8732814857824762
01_F1D022044_4_2.jpg,508401280.1971556,1009362881,239156.12061204456,-71867493.59375,8392590,8392590,0.6202807870091589
01_F1D022044_4_3.jpg,325121232.6271556,893832251,326038.74071144196,-70205331.78125,8337090,8337090,0.7112109343296156
01_F1D022069_4_1.jpg,337871480.26839995,811032280,249131.26874367462,-60825384.42578125,8041128,8041128,0.5936233005196873
01_F1D022069_4_2.jpg,520997666.088789,701679260,338614.1082223438,-65038804.9609375,8542597,8542597,0.6506452718562058
01_F1D022069_4_3.jpg,455898241.50395566,1253048320,310139.1698635287,-92496842.90625,6436830,6436830,0.9156094770774273
01_f1d022103_4_1.jpg,612360912.2579554,1361307410,381583.8729830362,-106043199.90625,8794388,8794388,0.7584836359743035
01_f1d022103_4_2.jpg,432602608.2879556,706912378,313796.23332709,-60100454.4140625,8116842,8116842,0.5736808991284699
